class,precision,recall,f1-score,support
art,0.9624060150375939,0.9078014184397163,0.9343065693430657,141.0
career-skills,0.8089887640449438,0.8135593220338984,0.8112676056338028,177.0
design,0.8584905660377359,0.8584905660377359,0.8584905660377359,106.0
finance-and-investment,0.9272727272727272,0.8947368421052632,0.9107142857142857,57.0
handmade,1.0,0.7058823529411765,0.8275862068965517,34.0
humanities,0.7916666666666666,0.5,0.6129032258064516,38.0
language,0.9770114942528736,0.9770114942528736,0.9770114942528736,87.0
lifestyle,0.8398058252427184,0.9611111111111111,0.8963730569948186,180.0
marketing,0.7457627118644068,0.8,0.7719298245614035,55.0
music,1.0,0.926829268292683,0.9620253164556962,41.0
photography,0.9354838709677419,0.9508196721311475,0.943089430894309,61.0
programming,0.8691588785046729,0.9117647058823529,0.8899521531100478,102.0
accuracy,,,0.8785912882298424,1079.0
macro avg,0.8930039599910068,0.8506672294356633,0.8663041446417535,1079.0
weighted avg,0.8811203499322291,0.8785912882298424,0.8769420425039882,1079.0
