true \ predicted,art｜藝術,career-skills｜職場技能,design｜設計,finance-and-investment｜投資理財,handmade｜手作,humanities｜人文,language｜語言,lifestyle｜生活品味,marketing｜行銷,music｜音樂,photography｜攝影,programming｜程式
art｜藝術,128,2,5,0,0,0,1,4,0,0,0,1
career-skills｜職場技能,0,144,9,1,0,2,0,7,9,0,0,5
design｜設計,2,7,91,0,0,0,0,1,1,0,3,1
finance-and-investment｜投資理財,0,1,0,51,0,0,0,2,0,0,0,3
handmade｜手作,2,0,0,0,24,0,0,8,0,0,0,0
humanities｜人文,0,8,0,1,0,19,0,7,2,0,1,0
language｜語言,0,0,0,0,0,0,85,1,0,0,0,1
lifestyle｜生活品味,1,4,0,1,0,0,1,173,0,0,0,0
marketing｜行銷,0,7,0,0,0,1,0,0,44,0,0,3
music｜音樂,0,1,0,0,0,0,0,2,0,38,0,0
photography｜攝影,0,0,0,0,0,2,0,0,1,0,58,0
programming｜程式,0,4,1,1,0,0,0,1,2,0,0,93
