class,feature,coefficient,rank
art,畫,4.608419593318466,1
art,繪,3.5691908953123552,2
art,插畫,2.68633326580269,3
art,插,2.6593996928954975,4
art,色,2.232897667388927,5
art,彩,1.9842376417584386,6
art,繪畫,1.892865245089427,7
art,筆,1.8830220689007424,8
art,藝術,1.754235668017731,9
art,畫出,1.748810155397109,10
art,字,1.712781180913568,11
art,藝,1.6995825161302176,12
art,物,1.467316182275874,13
art,水,1.3953398525932696,14
art,插畫 ,1.323208321313678,15
career-skills,職,2.738131860472375,1
career-skills,職場,2.2049942798850566,2
career-skills,場,1.8991643767983415,3
career-skills,業,1.611108908264652,4
career-skills,管,1.4793808204438843,5
career-skills,創業,1.4494407126880018,6
career-skills, 職,1.4080649758260386,7
career-skills,簡報,1.347757478444682,8
career-skills,效,1.313642835006398,9
career-skills,效率,1.2997126481120074,10
career-skills,工作,1.264098454192663,11
career-skills,管理,1.1857292520198963,12
career-skills,涯,1.1663440231132451,13
career-skills,報,1.1174973492678784,14
career-skills,職涯,1.0976794150021087,15
design,設計,3.4888713076548576,1
design,設,3.4326125171771023,2
design,計,3.1727262435404517,3
design,d ,2.2937203204203658,4
design,動畫,2.0713549467579697,5
design,動,1.8216347136897297,6
design,d,1.760794163934431,7
design,設計 ,1.7476964419109728,8
design,計 ,1.7189245985584485,9
design, 3d,1.624720307122125,10
design,3d,1.6068610062699114,11
design,3d ,1.581417589103657,12
design, 動,1.5160602010180266,13
design,u,1.4811727142008149,14
design,to,1.4555261630204692,15
finance-and-investment,投資,4.09442965564964,1
finance-and-investment,投,3.7813449645666375,2
finance-and-investment,股,3.1194756263250754,3
finance-and-investment,資,3.0192451626305745,4
finance-and-investment,財,2.89735356751225,5
finance-and-investment,理財,2.071010968171779,6
finance-and-investment,股票,1.8796936556373072,7
finance-and-investment,票,1.7632046154307957,8
finance-and-investment, 投資,1.7420706878656824,9
finance-and-investment, 投,1.7420706878656824,10
finance-and-investment,理財 ,1.3796658942540747,11
finance-and-investment,財 ,1.3796658942540747,12
finance-and-investment, 股,1.335304138275716,13
finance-and-investment,房,1.3345405173559706,14
finance-and-investment,投資觀,1.3181334710988701,15
handmade,手作,3.0499011237546476,1
handmade,手,2.1466360104101136,2
handmade, 手,1.9812699615120353,3
handmade,繡,1.9810941482141937,4
handmade,娃,1.9529801589002191,5
handmade,手工,1.6946197694375056,6
handmade,木,1.6245293062481652,7
handmade,花,1.6101896216489993,8
handmade,作,1.5572198789365725,9
handmade, 手作,1.495475350914285,10
handmade,型,1.429944106066143,11
handmade,娃娃,1.4113772278238084,12
handmade,針,1.3971704633717787,13
handmade,刺繡,1.3578086418429263,14
handmade,針法,1.3376055272665646,15
humanities,寫作,2.1283089308292444,1
humanities,劇,1.6831239199792574,2
humanities,灣,1.5901002157853705,3
humanities,社會,1.5566101049162457,4
humanities,小說,1.5000937297993944,5
humanities, 寫作,1.4893640001535833,6
humanities,學 ,1.4251348473390701,7
humanities,編劇,1.3832607872841343,8
humanities, 寫,1.3801416894422083,9
humanities,寫,1.3645484156529948,10
humanities,社,1.3469064028135138,11
humanities,人,1.3265480180009832,12
humanities,議題,1.295547352393647,13
humanities,事,1.2784230479418512,14
humanities,故,1.2756753983930382,15
language,文,5.524921701731159,1
language,英,4.303390848667323,2
language,英文,3.8772035925891855,3
language,語,3.276360648161841,4
language,文 ,2.516244679092142,5
language,日文,2.363287949358659,6
language,口,1.9903701742294455,7
language,韓,1.985822646133227,8
language,日,1.7903744948928673,9
language,口說,1.6720162711861628,10
language,話,1.6386788264366619,11
language,文法,1.6201195519423497,12
language, 英,1.6183962386707593,13
language, 英文,1.598234078797918,14
language,韓文,1.5648095336351477,15
lifestyle,子,1.8079558342276636,1
lifestyle,味,1.629364898563113,2
lifestyle,健,1.4578915878448837,3
lifestyle,養,1.4023506584762893,4
lifestyle,孩,1.4013099809691998,5
lifestyle,育,1.369365529931118,6
lifestyle,身,1.3620223841293326,7
lifestyle,心,1.3182724457489325,8
lifestyle,料理,1.3064777848395466,9
lifestyle,更多生,1.3044562366134926,10
lifestyle,多生活,1.2831383516775454,11
lifestyle,多生,1.2831383516775454,12
lifestyle,生,1.2654017739178676,13
lifestyle,育 ,1.2458525947370802,14
lifestyle,教育 ,1.2458525947370802,15
marketing,行銷,3.821365485466484,1
marketing,銷,3.709354803621093,2
marketing,行,2.6742702334235036,3
marketing,銷 ,2.315355099091881,4
marketing,行銷 ,2.315355099091881,5
marketing, 行銷,2.0441404634293243,6
marketing, 行,2.03364973177853,7
marketing,文案,1.8032906435731257,8
marketing,營,1.7208177046693656,9
marketing,行銷學,1.593149771522854,10
marketing,銷學,1.593149771522854,11
marketing,銷學習,1.5883059718284365,12
marketing,習地,1.567791738356041,13
marketing,習地圖,1.567791738356041,14
marketing,學習地,1.567791738356041,15
music,樂,4.326931730360555,1
music,音,3.85290412118734,2
music,音樂,3.8379482664673192,3
music,歌,3.2899790066975143,4
music,曲,2.9718601447121733,5
music,奏,2.6090242933400383,6
music,唱,2.1820334949805362,7
music,吉他,1.5321635645450524,8
music,歌唱,1.4781786469258915,9
music,編曲,1.470692107970578,10
music,吉,1.4651425679002599,11
music,樂理,1.440210970090851,12
music, 音樂,1.2821260417630176,13
music,演奏,1.2238005782015833,14
music,歌曲,1.2148812364266064,15
photography,影,4.99270773101061,1
photography,攝,4.5961052352908744,2
photography,攝影,4.246444804737459,3
photography,拍,3.2492249755340867,4
photography,片,2.332770023634113,5
photography,影像,2.2104299236341207,6
photography, 影,2.127873160570462,7
photography,像,2.0095584232316384,8
photography,攝影 ,1.6545980684111332,9
photography,創作 ,1.6188627768348125,10
photography,影 ,1.5977887032037126,11
photography,影片,1.4579956780415448,12
photography,創作,1.3799724503035669,13
photography, 影像,1.2997001202954417,14
photography,剪,1.2573321973027407,15
programming,程式,3.0864582487437735,1
programming,式,1.9657172554984237,2
programming,資料,1.7478205163632996,3
programming,網,1.7202319247029199,4
programming,開發,1.6962271554671189,5
programming,站,1.5724902435488288,6
programming,n,1.4893613683811362,7
programming,端,1.4707083255450362,8
programming,入門,1.441381169762058,9
programming,門 ,1.4395052063316247,10
programming,門,1.4146759541085954,11
programming,料,1.4087189019122686,12
programming,入門 ,1.3960787538059456,13
programming,p,1.395017495840913,14
programming,網站,1.3628505091115553,15
