model,model_label,fold,accuracy,f1_macro,f1_weighted
tfidf_nb,TF-IDF + Multinomial Naive Bayes（基準模型）,1,0.5777777777777777,0.3492120398903071,0.5066479068977985
tfidf_nb,TF-IDF + Multinomial Naive Bayes（基準模型）,2,0.6259259259259259,0.41648841226153843,0.5655719878298165
tfidf_nb,TF-IDF + Multinomial Naive Bayes（基準模型）,3,0.6259259259259259,0.42302328096775416,0.5659951713221024
tfidf_nb,TF-IDF + Multinomial Naive Bayes（基準模型）,4,0.5947955390334573,0.38606978250448004,0.533059009035822
tfidf_nb,TF-IDF + Multinomial Naive Bayes（基準模型）,mean,0.6061062921657717,0.39369837890601994,0.5428185187713849
tfidf_nb,TF-IDF + Multinomial Naive Bayes（基準模型）,std,0.020712759525376077,0.029225696498776862,0.024791322933830417
tfidf_lr,TF-IDF + Logistic Regression（主要模型）,1,0.8592592592592593,0.8453755255433669,0.8575008485985907
tfidf_lr,TF-IDF + Logistic Regression（主要模型）,2,0.8740740740740741,0.847915553901721,0.8682597305331649
tfidf_lr,TF-IDF + Logistic Regression（主要模型）,3,0.9037037037037037,0.8954738854920702,0.9032667700028372
tfidf_lr,TF-IDF + Logistic Regression（主要模型）,4,0.8773234200743495,0.8692976899253549,0.875700866073051
tfidf_lr,TF-IDF + Logistic Regression（主要模型）,mean,0.8785901142778466,0.8645156637156283,0.8761820538019109
tfidf_lr,TF-IDF + Logistic Regression（主要模型）,std,0.016018531946837587,0.020144402481315445,0.01692309093471253
tfidf_svm,TF-IDF + Linear SVM（延伸比較模型）,1,0.8518518518518519,0.8435352529183681,0.851342078738273
tfidf_svm,TF-IDF + Linear SVM（延伸比較模型）,2,0.8740740740740741,0.8417780303250094,0.8679674587620029
tfidf_svm,TF-IDF + Linear SVM（延伸比較模型）,3,0.9037037037037037,0.8950457636356814,0.9027535238879594
tfidf_svm,TF-IDF + Linear SVM（延伸比較模型）,4,0.8847583643122676,0.8791700909159622,0.8831153321502552
tfidf_svm,TF-IDF + Linear SVM（延伸比較模型）,mean,0.8785969984854743,0.8648822844487553,0.8762945983846226
tfidf_svm,TF-IDF + Linear SVM（延伸比較模型）,std,0.01873545295323713,0.022931851234028522,0.01896422051449014
